username,content,msg_id,user_id,timestamp,label
user1218,helal beeee 👏,71dbe36e-7cac-47de-bdb5-432446066254,97890447,2025-05-07T17:11:37.656580,positive
user6517,chat çok iyi yaa,a496a18a-52aa-4325-abb2-dbc08de73bbf,46649289,2025-05-04T10:34:37.656721,positive
user6748,bazen oluyor böyle,53a295a9-b694-41f5-96a7-e619d75a08a4,24046654,2025-05-07T07:17:37.656795,neutral
user5407,bağlantı kötü sürekli donuyor,523a1952-8ded-4e4f-956c-521c128469ad,15689405,2025-05-02T09:36:37.656843,negative
user9807,kaliteli yayın bu işte,6d1996cf-3706-4747-b80b-d984ee8f67c6,54345587,2025-05-01T20:21:37.656876,positive
user4228,şu anlık normal,61e242a4-e319-44b9-8d39-25c103c525e2,35025033,2025-05-04T01:12:37.656933,neutral
user2119,ses yankı yapıyor,3f1994e3-b082-45cf-a8a2-1a6128c46b21,47629881,2025-05-05T12:06:37.657069,negative
user1689,şu anlık normal,8a48c1a7-9f8b-42b1-b684-1e0de9ad5ed6,67551945,2025-05-04T09:39:37.657147,neutral
user9513,niye bu kadar bağırıyor,40cdfc55-e130-44d7-b0ed-362379cbe4e6,57773209,2025-05-04T13:02:37.657219,negative
user7938,helal beeee 👏,b74deec7-ee6b-44d9-b1d3-30222292d850,47125535,2025-05-04T21:33:37.657370,positive
user833,kötü değil ama mükemmel de değil,0b4f39d4-4bd4-45bc-bf91-758c918dd295,88005236,2025-05-06T04:01:37.657463,neutral
user3479,bakalım nasıl olacak,a8c1234d-7397-48ce-9feb-e75f797cbfcf,48137515,2025-05-06T22:35:37.657528,neutral
user2160,chat yine standart,4d14e47b-2fa2-48b0-97e8-f751bfc2369f,69014604,2025-05-02T10:13:37.657570,neutral
user9885,arada bir bakıyorum,0306920c-7c6c-4da9-97b2-28411cba8563,96402341,2025-05-08T03:24:37.657612,neutral
user9870,niye bu kadar bağırıyor,f6e14e80-0f23-4c2d-95de-60d639cccbc6,14625784,2025-05-06T05:51:37.657636,negative
user2786,tam zamanında geldim,f996b4b4-7e33-40af-93f5-42ea9c86c0a9,63479063,2025-05-03T23:34:37.657654,positive
user166,hocam hiç anlaşılmıyor,b3eeacf2-bbb8-4982-ace5-e3fb5c44a57c,17794474,2025-05-06T13:25:37.657705,negative
user8494,çok bozdu bu yayın,5707860b-ce63-4687-8d93-f59bad976f2f,79301245,2025-05-05T09:59:37.657808,negative
user7536,hiçbir şey anlamıyorum,5aff3430-e20f-46c8-8020-a9d2b00efd69,83553901,2025-05-05T11:23:37.657856,negative
user2350,chat zehir gibi olmuş,b45e766b-70d1-4480-8df3-3f14fb651295,99079652,2025-05-03T10:31:37.657880,negative
user8637,herkes pozitif çok güzel ortam,7065915e-e28f-4060-b5c2-a360a3ae10d4,98562584,2025-05-04T13:45:37.657898,positive
user2582,chat zehir gibi olmuş,9472520f-059e-4f62-aa99-84634b0c6f04,50929670,2025-05-05T21:12:37.657916,negative
user5532,bakalım nasıl olacak,d7fd9087-4ab1-418b-bb75-999a66d81a8f,97438735,2025-05-07T09:12:37.657932,neutral
user6498,helal beeee 👏,b2ab31ac-2c80-47b4-9f5e-735588e8a8c0,11846169,2025-05-02T17:58:37.657953,positive
user8511,arada bir bakıyorum,7a4ba4eb-0e30-4804-bad5-2366ad5296fd,81108141,2025-05-04T00:22:37.658013,neutral
user9424,yayın akıyor valla 🔥,5559d0b1-11a2-4bf4-a400-2f1c7b9b8967,25706666,2025-05-06T19:53:37.658072,positive
user4330,bu ne biçim içerik,0866820d-35d9-4f41-ab0c-e9790d591e09,64125660,2025-05-07T03:45:37.658115,negative
user1880,bir daha gelmem,c3add78b-52b3-4942-bdda-35d0856950d2,88870098,2025-05-02T18:52:37.658136,negative
user4089,hiçbir şey anlamıyorum,e1092c86-e377-49a3-95a1-10ba83c4366a,23941636,2025-05-06T03:05:37.658154,negative
user6225,bir daha gelmem,76b5f7de-1ef4-48b9-9e4e-f52e05851fe9,19104306,2025-05-08T02:35:37.658181,negative
user9586,arada donuyor sanki,ff5fefaf-e67d-45f6-95d5-a3248d0e4c2f,42627146,2025-05-04T16:22:37.658241,neutral
user9053,güldüm baya ahahha,5f384faa-36be-499f-aaff-5d389192122d,87426763,2025-05-01T19:43:37.658310,positive
user3624,çok sıkıldım ya,beb47606-9b6f-422f-93ba-36c49ca24d1b,52373821,2025-05-02T04:09:37.658358,negative
user3481,çok iyi anlatıyor ya,2c5c147d-8322-4c61-8492-ac6a5d37cb1d,23072165,2025-05-04T16:26:37.658380,positive
user8114,yayını kaçırmamak gerek,823c9b88-392a-4520-a707-b3b5ae2636b9,17611230,2025-05-07T02:16:37.658398,positive
user1173,hocam hiç hazırlanmamış,1af296a2-9c0d-4e98-89e1-dbb9838e02d1,29682696,2025-05-05T11:49:37.658537,negative
user9386,yayın efsane gidiyor,dda91e2a-69c1-445f-905a-4d9958f6c702,47897692,2025-05-02T09:52:37.658641,positive
user8651,niye bu kadar bağırıyor,96ea1f20-649f-4e2c-9502-ff6bdae70cb4,83011839,2025-05-05T21:51:37.658690,negative
user1368,bir daha gelmem,7b7abb48-5974-41c6-99a8-3812958d163c,23589699,2025-05-04T15:09:37.658754,negative
user325,niye bu kadar bağırıyor,3fb8e3a4-5032-4a63-84ed-d647b6de60bb,92104179,2025-05-07T09:32:37.658819,negative
user4305,biraz geç geldim,0f1d7958-4720-48f7-a6d6-3d39c89d65c1,47558388,2025-05-06T07:59:37.658883,neutral
user2318,şu anlık normal,17a874c7-e767-4229-a3c3-c1ede41076b1,64145945,2025-05-07T00:58:37.658951,neutral
user2095,gelen geçen küfür ediyor,b816ea89-8f4d-4b30-9576-409f7cbab560,65998479,2025-05-05T04:05:37.659022,negative
user9459,ortam dengeli bugün,a1ff5ea1-9834-4548-8a01-6ddd4ba21bba,12606089,2025-05-04T15:53:37.659076,neutral
user575,bir daha gelmem,b4d03ee7-6c81-4491-a21e-2a6a50429f55,34514720,2025-05-03T04:26:37.659116,negative
user4431,hocam ses tonun bile motive ediyor,cf7adf33-5d09-4a7c-8018-82718051b55b,93783753,2025-05-02T19:50:37.659139,positive
user3551,her şey normal gidiyor,c9853324-9681-4d6a-862d-f3ed2cc57f02,86233785,2025-05-05T15:02:37.659157,neutral
user74,kimse konuşmuyor ama izliyor,81250550-b3cb-4bad-9776-c39f323f1854,50334546,2025-05-04T07:31:37.659175,neutral
user174,adam tam bir profesyonel,fca631b1-0d4e-4339-a88a-210edadd6477,16448420,2025-05-08T08:17:37.659193,positive
user4785,tam zamanında geldim,0e44fce8-155c-432f-a7d0-ee109d8e8872,37496199,2025-05-02T09:26:37.659215,positive
user5127,arada donuyor sanki,51f600fd-12e4-4a51-8a37-b57762d609c6,72772031,2025-05-08T08:17:37.659236,neutral
user9346,sıfır keyif,3f66cefe-66fc-46ef-bfeb-5524b55728db,46822736,2025-05-06T22:18:37.659256,negative
user6743,çok sıkıldım ya,1fd00cb6-cb8b-405c-a8e9-610750a5790f,94306530,2025-05-05T08:06:37.659308,negative
user3735,rezalet resmen,f128a242-f64b-4828-8896-d11de447b3be,59184822,2025-05-08T10:53:37.659352,negative
user5216,bu ne biçim içerik,2ba5a756-637f-4c68-a52b-0b1a22bb010d,66842669,2025-05-08T11:05:37.659425,negative
user1750,hocam hiç hazırlanmamış,2ae7c77b-264f-4554-8024-2b27fbc28323,90100960,2025-05-03T09:23:37.659476,negative
user2558,helal beeee 👏,dcf4800b-2f41-4efc-b9c0-7a360aff7f04,74766258,2025-05-05T01:12:37.659646,positive
